panel,family,sequence,n_t,E_2,rate,target_bound
fixed,id,E2=0.1,24,0.1,0.5493698059545118,0.18946457081379972
fixed,id,E2=0.1,26,0.1,0.5423173722102607,0.16493848884661177
fixed,id,E2=0.1,28,0.1,0.5359652595319274,0.14358729437462936
fixed,id,E2=0.1,32,0.1,0.5249965215207373,0.1088188204120155
fixed,id,E2=0.1,34,0.1,0.5202169318658079,0.09473228540689986
fixed,id,E2=0.1,38,0.1,0.5117870137120918,0.07179364718731468
fixed,id,E2=0.1,40,0.1,0.5080482023721841,0.0625
fixed,id,E2=0.1,44,0.1,0.5013507183073852,0.04736614270344993
fixed,id,E2=0.1,48,0.1,0.49552001401242923,0.035896823593657326
fixed,id,E2=0.1,52,0.1,0.490393058510844,0.027204705103003875
fixed,id,E2=0.1,58,0.1,0.4837582924765397,0.017948411796828663
fixed,id,E2=0.1,62,0.1,0.4799063915623781,0.013602352551501938
fixed,id,E2=0.1,68,0.1,0.47481562996815435,0.008974205898414332
fixed,id,E2=0.1,74,0.1,0.4703980184449591,0.005920767837931241
fixed,id,E2=0.1,82,0.1,0.46533600005457126,0.0034005881378754823
fixed,id,E2=0.1,90,0.1,0.46102058995921863,0.001953125
fixed,id,E2=0.1,98,0.1,0.4572929575930077,0.0011217757373017914
fixed,id,E2=0.1,106,0.1,0.4540369854204055,0.0006442909720570766
fixed,id,E2=0.1,116,0.1,0.45049983616489286,0.0003221454860285383
fixed,id,E2=0.1,126,0.1,0.44743872955158664,0.00016107274301426915
fixed,id,E2=0.1,138,0.1,0.4442646699766534,7.011098358136196e-05
fixed,id,E2=0.1,150,0.1,0.4415254579366392,3.0517578125e-05
fixed,id,E2=0.1,164,0.1,0.43876556100376884,1.156399968345944e-05
fixed,id,E2=0.1,180,0.1,0.4360658505351649,3.814697265625e-06
fixed,id,E2=0.1,196,0.1,0.43374851961283273,1.2583808047989777e-06
fixed,id,E2=0.1,214,0.1,0.4315021821794447,3.613749901081075e-07
fixed,id,E2=0.1,234,0.1,0.4293605329896727,9.034374752702688e-08
fixed,id,E2=0.1,254,0.1,0.4275145066408353,2.258593688175672e-08
fixed,id,E2=0.1,278,0.1,0.42560770170044426,4.279234837729612e-09
fixed,id,E2=0.1,302,0.1,0.42396822761365927,8.107633919418999e-10
fixed,id,E2=0.1,330,0.1,0.4223221885280177,1.1641532182693481e-10
fixed,id,E2=0.1,360,0.1,0.42081070304536017,1.4551915228366852e-11
fixed,id,E2=0.1,394,0.1,0.41934530918643753,1.378536186630656e-12
fixed,id,E2=0.1,430,0.1,0.4180190531385801,1.1368683772161603e-13
fixed,id,E2=0.1,468,0.1,0.4168170186315885,8.161992717227175e-15
fixed,id,E2=0.1,512,0.1,0.415625,3.8660211178870195e-16
fixed,id,E2=0.1,558,0.1,0.4145593571896581,1.5941392025834327e-17
fixed,id,E2=0.1,610,0.1,0.41352895972532827,4.336808689942018e-19
fixed,id,E2=0.1,666,0.1,0.4125816491998067,8.941333396698579e-21
fixed,id,E2=0.1,726,0.1,0.41171325859228064,1.397083343234153e-22
fixed,id,E2=0.1,792,0.1,0.4108956522980803,1.4402050964113397e-24
fixed,id,E2=0.1,864,0.1,0.4101329716460225,9.795088733928423e-27
fixed,id,E2=0.1,944,0.1,0.40940957950144263,3.82620653669079e-29
fixed,id,E2=0.1,1030,0.1,0.4087460472058938,9.860761315262648e-32
fixed,id,E2=0.1,1124,0.1,0.4081267138080258,1.4595819613230859e-34
fixed,id,E2=0.1,1226,0.1,0.40755280853482123,1.2408592759830776e-37
fixed,id,E2=0.1,1338,0.1,0.4070148448435288,5.27456416835101e-41
fixed,id,E2=0.1,1462,0.1,0.4065073376169306,9.75920933971159e-45
fixed,id,E2=0.1,1594,0.1,0.406046697562102,1.0370953598645982e-48
fixed,id,E2=0.1,1740,0.1,0.40561199516708973,4.176194859519056e-53
fixed,id,E2=0.1,1900,0.1,0.40520620194906226,6.372367644529809e-58
fixed,id,E2=0.1,2072,0.1,0.4048343669342117,4.2323823871424524e-63
fixed,id,E2=0.1,2262,0.1,0.40448425429442525,8.072628759655862e-69
